priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage
1,1,2,17.000000,65,0,0,0,0,72,14,72,14,1568,307,0,0,0,0.266667,0.066667,0.066667,0.466667,0.061797,0.098930
1,0,2,0.000000,265,2,2,29,2,82,12,82,12,2641,326,0,0,2,0.200000,0.000000,0.000000,0.066667,0.040325,0.182769
0,0,0,0.000000,88,3,3,0,0,112,41,112,41,2678,1036,0,0,0,0.000000,0.000000,0.000000,0.000000,0.919604,0.235612
0,9,4,18.444444,423,0,0,0,68,44,8,44,8,1357,240,0,0,0,5.000000,0.800000,1.000000,3.400000,0.498917,0.206311
1,13,11,31.230769,117,12,12,0,0,202,8,202,8,4905,266,1,0,0,2.533333,0.466667,0.066667,1.266667,0.030303,0.352812
0,0,2,0.000000,103,111,111,0,0,8,0,8,0,237,0,1,0,0,0.800000,0.000000,0.000000,0.000000,0.874222,0.068125
0,10,6,1747.000000,116,0,0,0,0,0,0,0,0,0,0,0,0,0,11.000000,8.600000,0.000000,2.200000,0.231513,0.004147
0,2,4,7.000000,157,55,55,99,62,29,7,29,7,966,262,1,0,0,1.600000,0.000000,0.000000,0.400000,0.376271,0.176261
1,1,3,12.000000,126,1,1,3,49,20,0,20,0,632,0,0,0,6,0.266667,0.000000,0.000000,0.266667,0.500183,0.231633
1,0,1,0.000000,14,0,0,10,17,6,0,6,0,154,0,0,0,0,0.266667,0.000000,0.000000,0.600000,0.030587,0.004142
2,0,1,0.000000,142,3,3,0,0,2,0,2,0,53,0,0,0,0,0.045455,0.000000,0.000000,0.000000,0.278545,0.076148
0,5,4,16.400000,91,0,0,0,179,381,65,381,65,9990,1881,0,0,0,5.200000,2.200000,0.000000,1.000000,0.150769,0.235612
0,0,3,0.000000,56,1,1,0,0,0,0,0,0,0,0,0,0,2,0.200000,0.000000,0.200000,1.600000,0.225323,0.004315
0,5,6,95.400000,198,0,0,0,0,138,40,138,40,4119,1097,1,0,0,3.200000,0.400000,0.200000,2.200000,0.091023,0.224657
0,2,6,15.000000,259,17,15,50,4,17,2,17,2,349,31,0,0,0,1.000000,0.000000,0.200000,0.800000,0.108614,0.097292
1,25,16,42.440000,94,77,76,0,0,28,4,28,4,1087,144,5,1,0,3.933333,0.466667,0.800000,3.666667,0.084802,0.401716
1,2,5,16.000000,130,0,0,7,10,3,0,3,0,91,0,0,0,0,1.000000,0.066667,0.133333,0.466667,0.096027,0.004215
1,0,0,0.000000,62,2,2,0,0,11,6,11,6,249,118,0,0,0,0.000000,0.000000,0.000000,0.000000,0.975212,0.235612
2,0,2,0.000000,128,1,1,7,7,3,1,3,1,100,49,0,0,0,0.227273,0.000000,0.000000,0.000000,0.780840,0.299339
0,3,8,15.000000,120,1,1,52,2,1,0,1,0,38,0,1,0,0,2.000000,0.000000,0.200000,1.000000,0.741549,0.004871
1,11,11,55.090909,162,0,0,84,44,49,2,49,2,1556,55,2,0,0,2.066667,0.133333,0.000000,0.866667,0.066991,0.060341
1,1,2,27.000000,28,3,3,4,11,33,3,33,3,951,85,0,0,0,0.266667,0.000000,0.000000,0.066667,0.066712,0.098064
1,3,4,41.666667,111,10,7,0,0,106,11,104,10,3030,239,1,1,2,0.266667,0.000000,0.000000,0.200000,0.704917,0.260583
2,5,7,68.000000,124,27,27,0,0,6,0,6,0,151,0,0,0,44,0.545455,0.000000,0.000000,0.318182,0.071905,0.182769
0,8,4,46.250000,64,1,1,14,1,4,0,4,0,185,0,0,0,0,4.800000,0.800000,0.000000,1.600000,0.521589,0.087777
0,1,1,26.000000,58,76,75,111,53,275,45,275,45,6882,1234,0,0,0,0.200000,0.000000,0.000000,0.200000,0.893218,0.235612
0,0,3,0.000000,286,3,2,3,2,1,1,1,1,20,20,0,0,0,0.800000,0.000000,0.200000,1.400000,0.184619,0.098930
2,0,2,0.000000,43,1,1,6,0,0,0,0,0,0,0,1,0,4,0.136364,0.000000,0.000000,0.000000,0.694032,0.197846
